t_index,term,df
1,cupboard,1
2,allan,1
3,fuselag,1
4,rebutt,1
5,doctrin,1
6,proportion,1
7,subtl,1
8,danewich,1
9,dresser,1
10,typhu,1
11,cholera,1
12,koch,1
13,groan,1
14,lewi,1
15,undo,1
16,parachut,1
17,wildlif,1
18,reoccur,1
19,rash,1
20,zdanovich,1
21,duress,1
22,closeup,1
23,dual,1
24,belaru,1
25,appris,1
26,deaf,1
27,avow,1
28,suharto,1
29,wanda,1
30,odeh,1
31,saddiq,1
32,articul,1
33,daoud,1
34,adriat,1
35,fuzzi,1
36,abdurahman,1
37,pataki,1
38,lessen,1
39,enigmat,1
40,forebod,1
41,reschedul,1
42,singularli,1
43,flex,1
44,atmat,1
45,diminut,1
46,para,1
47,kearney,1
48,neb,1
49,assort,1
50,mildli,1
51,thatcher,1
52,mermonsk,1
53,thuzz,1
54,vini,1
55,empt,1
56,ari,1
57,technocrat,1
58,mentor,1
59,unbalanc,1
60,screw,1
61,wrn,1
62,formul,1
63,asham,1
64,schleehauf,1
65,dismemb,1
66,envisag,1
67,boga,1
68,reverber,1
69,busiest,1
70,doudou,1
71,alexsand,1
72,gorbachov,1
73,enjoin,1
74,newark,1
75,cyclon,1
76,dilig,1
77,mitra,1
78,amit,1
79,syndic,1
80,ahren,1
81,orissa,1
82,joachim,1
83,pant,1
84,murtza,1
85,notorieti,1
86,kansara,1
87,singular,1
88,harley,1
89,tutori,1
90,cradl,1
91,accordingli,1
92,samshran,1
93,scarv,1
94,slat,1
95,ghee,1
96,hindi,1
97,butter,1
98,decidedli,1
99,sabaa,1
100,segreg,1
101,allahbad,1
102,reson,1
103,sanskriti,1
104,nasir,1
105,rasik,1
106,methodolog,1
107,sangram,1
108,tuxedo,1
109,sejwal,1
110,fernandez,1
111,legion,1
112,farmington,1
113,textbook,1
114,chisel,1
115,genrikh,1
116,bershard,1
117,projectil,1
118,booster,1
119,kamisar,1
120,ordain,1
121,jurisprud,1
122,uvil,1
123,pertain,1
124,oral,1
125,mutual,1
126,creek,1
127,inspit,1
128,benton,1
129,rebecca,1
130,stalinist,1
131,superfast,1
132,offenc,1
133,seiu,1
134,rivera,1
135,charlestown,1
136,inviol,1
137,wv,1
138,stemmo,1
139,priscilla,1
140,allentown,1
141,motherless,1
142,fatherless,1
143,kusi,1
144,nn,1
145,unconcern,1
146,lobbyist,1
147,quotient,1
148,closemouth,1
149,exalt,1
150,refund,1
151,disassembl,1
152,chopstick,1
153,demean,1
154,dissect,1
155,conquer,1
156,imbu,1
157,vassal,1
158,scrambler,1
159,tireless,1
160,wraparound,1
161,laundri,1
162,impenetr,1
163,superintend,1
164,coteri,1
165,subjug,1
166,exocet,1
167,reflag,1
168,kuwaiti,1
169,minefield,1
170,rinn,1
171,rewrot,1
172,happili,1
173,drydock,1
174,srebrenica,1
175,minesweep,1
176,ploy,1
177,gil,1
178,guru,1
179,inchon,1
180,rebuilt,1
181,affabl,1
182,connor,1
183,rosewal,1
184,mat,1
185,lendl,1
186,stefan,1
187,roommat,1
188,smoker,1
189,bloomer,1
190,bjorn,1
191,pilfer,1
192,sop,1
193,splashdown,1
194,yarra,1
195,lukin,1
196,duplic,1
197,unsympathet,1
198,basher,1
199,borg,1
200,letup,1
201,prof,1
202,redempt,1
203,rariti,1
204,thirtysometh,1
205,newcomb,1
206,estrang,1
207,mislead,1
208,unceasingli,1
209,backcourt,1
210,garro,1
211,liton,1
212,sheehen,1
213,overestim,1
214,mong,1
215,thinner,1
216,steppingston,1
217,crude,1
218,dime,1
219,busili,1
220,uproot,1
221,unlevel,1
222,unknowingli,1
223,wnbc,1
224,gabe,1
225,pressman,1
226,httpwwwhillaryorg,1
227,unrestrict,1
228,httpwwwlaziocom,1
229,silt,1
230,snowfal,1
231,katzenbach,1
232,repetit,1
233,motherland,1
234,liturgi,1
235,grope,1
236,cursori,1
237,streamlin,1
238,testili,1
239,bonu,1
240,upfront,1
241,pietropaoli,1
242,headway,1
243,quizz,1
244,displeas,1
245,whitacr,1
246,transmit,1
247,storiescolehtml,1
248,museummuslim,1
249,deviat,1
250,unsheath,1
251,smokescreen,1
252,postfox,1
253,httpwwwchinfonavymilnavpalibnewsnew,1
254,vall,1
255,riestra,1
256,hiromi,1
257,introspect,1
258,morph,1
259,undivid,1
260,rocknrol,1
261,severodvinsk,1
262,sergaev,1
263,predominantli,1
264,perus,1
265,outster,1
266,debar,1
267,evok,1
268,counterpunch,1
269,unambigu,1
270,luckier,1
271,alasan,1
272,reincarn,1
273,demograph,1
274,ruse,1
275,schumer,1
276,tinker,1
277,jitsukawa,1
278,abyssinian,1
279,kumamoto,1
280,borivoj,1
281,harlem,1
282,grapevin,1
283,mourton,1
284,vukicev,1
285,apolit,1
286,misspel,1
287,rolan,1
288,undersea,1
289,hysteria,1
290,evoc,1
291,malnutrit,1
292,crematoria,1
293,seller,1
294,kouassi,1
295,ebri,1
296,motorist,1
297,incas,1
298,cetinj,1
299,mikilo,1
300,lida,1
301,metropolitan,1
302,navnirman,1
303,nath,1
304,usha,1
305,versu,1
306,spaniel,1
307,cocker,1
308,abhiyan,1
309,barney,1
310,dragesa,1
311,vladimero,1
312,miand,1
313,bowman,1
314,parvail,1
315,feroci,1
316,faintli,1
317,abat,1
318,slur,1
319,morali,1
320,tail,1
321,toscap,1
322,thescap,1
323,habiar,1
324,dea,1
325,miklaszweski,1
326,ofussia,1
327,duboc,1
328,multilingu,1
329,agonizingli,1
330,lurin,1
331,windowless,1
332,staci,1
333,electrifi,1
334,quiver,1
335,comprehend,1
336,pajama,1
337,treeless,1
338,sandlewood,1
339,scent,1
340,shemter,1
341,mahatma,1
342,beli,1
343,sedat,1
344,sesam,1
345,firebal,1
346,krall,1
347,panamericana,1
348,lionel,1
349,piecem,1
350,susten,1
351,jospin,1
352,rigor,1
353,setinya,1
354,veronika,1
355,nun,1
356,marchenko,1
357,uk,1
358,pradeep,1
359,hush,1
360,prestig,1
361,introductori,1
362,jerk,1
363,ustakov,1
364,relent,1
365,fairleigh,1
366,arseni,1
367,rivasseau,1
368,slouch,1
369,upto,1
370,plush,1
371,vlademiro,1
372,indiscret,1
373,wwwstategovwwwregionswhaindexhtml,1
374,contamin,1
375,bakhshish,1
376,dormitori,1
377,minc,1
378,runup,1
379,towel,1
380,anjay,1
381,prianka,1
382,lest,1
383,francoi,1
384,orano,1
385,vladamiro,1
386,stricter,1
387,eyadema,1
388,togo,1
389,powerbrok,1
390,anomali,1
391,abstain,1
392,firestorm,1
393,fm,1
394,rupe,1
395,sew,1
396,knit,1
397,ratnal,1
398,cleavag,1
399,wbai,1
400,roshan,1
401,jangonibi,1
402,unshaven,1
403,tinkl,1
404,lorri,1
405,headlight,1
406,abrupt,1
407,dogged,1
408,trembl,1
409,chetsov,1
410,eman,1
411,digest,1
412,intelligentia,1
413,adrenalin,1
414,manchest,1
415,exoner,1
416,accredit,1
417,kobe,1
418,nino,1
419,chink,1
420,actionc,1
421,puff,1
422,windi,1
423,forsak,1
424,whiff,1
425,cryptic,1
426,sleev,1
427,kerchief,1
428,haggard,1
429,categor,1
430,etar,1
431,relearn,1
432,polo,1
433,franchis,1
434,topic,1
435,engrav,1
436,dickinson,1
437,whirlwind,1
438,lifelong,1
439,disinform,1
440,lavishli,1
441,probiti,1
442,callous,1
443,qazi,1
444,ashraf,1
445,jehangir,1
446,sordid,1
447,republika,1
448,vijay,1
449,stevedor,1
450,srpska,1
451,rawalpindi,1
452,needi,1
453,parlor,1
454,nambiar,1
455,distrust,1
456,chagrin,1
457,prow,1
458,graini,1
459,tread,1
460,gerald,1
461,harpoon,1
462,shargel,1
463,shiver,1
464,flux,1
465,nacion,1
466,httpwwwohtnofleetindexhtml,1
467,benign,1
468,rumpl,1
469,workaday,1
470,joerg,1
471,haider,1
472,banco,1
473,goliath,1
474,appal,1
475,improprieti,1
476,overreact,1
477,loudli,1
478,bet,1
479,hijazi,1
480,sugari,1
481,gossip,1
482,boatmen,1
483,indefens,1
484,hardbal,1
485,horsepow,1
486,rial,1
487,hourlong,1
488,bia,1
489,bangalor,1
490,sayaad,1
491,presevo,1
492,casino,1
493,cathedr,1
494,russel,1
495,lith,1
496,professori,1
497,yearli,1
498,futa,1
499,tuna,1
500,snapper,1
501,rarer,1
502,videodisc,1
503,flatwar,1
504,speci,1
505,tropic,1
506,flatli,1
507,neatli,1
508,haggl,1
509,sealift,1
510,mommi,1
511,wad,1
512,venero,1
513,strode,1
514,vuong,1
515,workplac,1
516,noisi,1
517,decibel,1
518,soundproof,1
519,nightmarish,1
520,paraphras,1
521,headset,1
522,gaff,1
523,smartli,1
524,warsaw,1
525,gedda,1
526,povel,1
527,httpwwwdefenselinkmilnewsoctbbt,1
528,html,1
529,unflatt,1
530,zurich,1
531,stowag,1
532,replet,1
533,coker,1
534,getter,1
535,stereo,1
536,lans,1
537,arisen,1
538,wxyz,1
539,bolivia,1
540,coercion,1
541,detritu,1
542,monthli,1
543,benchmark,1
544,discontinu,1
545,outtara,1
546,null,1
547,slobadon,1
548,silva,1
549,panamanian,1
550,arni,1
551,vintag,1
552,dirtiest,1
553,bead,1
554,lazo,1
555,tantamount,1
556,hugo,1
557,dori,1
558,agit,1
559,broom,1
560,httpwwwjohnashcroftorg,1
561,substandard,1
562,marg,1
563,squeamish,1
564,mcclean,1
565,crescent,1
566,fr,1
