t_index,tf-idf
7,0.028
15,0.063
66,0.02
82,0.019
88,0.027
101,0.02
148,0.025
150,0.036
156,0.047
157,0.023
160,0.04
169,0.047
225,0.053
260,0.127
315,0.177
320,0.043
337,0.008
367,0.062
449,0.028
471,0.045
482,0.037
558,0.033
620,0.031
624,0.051
629,0.113
634,0.02
666,0.035
670,0.025
671,0.026
727,0.026
759,0.01
903,0.024
945,0.018
947,0.036
949,0.045
954,0.035
968,0.012
1022,0.031
1089,0.036
1162,0.026
1193,0.013
1276,0.051
1378,0.037
1510,0.079
1513,0.098
1522,0.028
1529,0.284
1540,0.018
1713,0.027
1882,0.029
1920,0.027
1945,0.266
1958,0.026
2028,0.084
2066,0.013
2082,0.022
2086,0.024
2157,0.057
2160,0.025
2182,0.03
2188,0.025
2229,0.021
2235,0.036
2247,0.058
2260,0.029
2343,0.117
2378,0.037
2439,0.03
2449,0.02
2563,0.018
2571,0.037
2615,0.015
2666,0.028
2753,0.022
2761,0.08
2813,0.014
2880,0.016
2921,0.024
2999,0.032
3268,0.019
3307,0.047
3314,0.016
3343,0.011
3381,0.02
3464,0.025
3519,0.029
3527,0.024
3575,0.021
3602,0.03
3611,0.07
3656,0.046
3658,0.014
3665,0.031
3679,0.036
3718,0.057
3730,0.033
3736,0.03
3765,0.045
3791,0.019
3857,0.06
3864,0.031
3866,0.03
3895,0.025
4025,0.01
4057,0.013
4180,0.025
4271,0.043
4313,0.02
4422,0.024
4526,0.063
4630,0.035
4636,0.087
4703,0.04
4710,0.038
4763,0.047
4840,0.015
4851,0.053
4875,0.02
4893,0.019
4979,0.04
5070,0.114
5079,0.022
5218,0.024
5263,0.017
5276,0.045
5322,0.039
5335,0.028
5366,0.02
5390,0.025
5430,0.035
5437,0.049
5447,0.057
5545,0.043
5554,0.164
5586,0.019
5737,0.057
5766,0.017
5771,0.082
5806,0.014
5812,0.063
5906,0.064
6015,0.428
6019,0.035
6028,0.015
6079,0.04
6142,0.018
6213,0.014
6313,0.035
6321,0.012
6371,0.013
6413,0.01
6509,0.03
6548,0.033
6581,0.024
6618,0.03
6625,0.053
6659,0.024
6692,0.019
6693,0.069
6733,0.03
6834,0.057
6835,0.032
6891,0.082
6982,0.045
6998,0.013
7053,0.092
7057,0.079
7130,0.022
7187,0.03
7211,0.018
7214,0.064
7224,0.031
7304,0.075
7325,0.025
7345,0.025
7419,0.021
7485,0.011
7500,0.038
7501,0.017
7505,0.024
7535,0.06
7699,0.03
7719,0.055
7779,0.028
7781,0.111
7807,0.019
7813,0.063
7847,0.029
7898,0.022
7982,0.026
8117,0.057
8124,0.052
8127,0.051
8166,0.034
8171,0.022
8198,0.011
8204,0.03
8270,0.006
8283,0.03
8460,0.025
8461,0.016
8502,0.015
8506,0.024
8523,0.087
8531,0.043
8571,0.039
8578,0.02
8668,0.021
8756,0.026
8818,0.018
8838,0.03
8887,0.018
8895,0.16
8931,0.017
8942,0.051
8972,0.028
9027,0.037
9112,0.029
9215,0.026
9278,0.044
9281,0.068
9372,0.127
9384,0.033
9424,0.027
9487,0.024
9516,0.016
9550,0.026
9551,0.058
9555,0.02
9562,0.019
9595,0.031
9758,0.032
9786,0.018
9803,0.031
9885,0.043
9950,0.054
10037,0.057
10043,0.041
10156,0.032
10159,0.035
10175,0.027
10249,0.017
10255,0.045
10258,0.043
10355,0.025
10402,0.033
10431,0.039
10556,0.038
10576,0.051
10650,0.045
10672,0.078
10686,0.011
10760,0.051
10781,0.247
10782,0.017
10827,0.033
10834,0.085
10835,0.03
10894,0.014
10914,0.042
10922,0.011
10970,0.007
11014,0.025
11037,0.015
11069,0.057
11070,0.029
11093,0.057
11234,0.049
11253,0.011
11261,0.057
11544,0.03
11557,0.022
11566,0.013
11569,0.028
11587,0.03
11684,0.03
11707,0.027
11709,0.026
11741,0.064
11805,0.128
11857,0.016
11887,0.022
11924,0.037
11950,0.018
12023,0.018
12079,0.051
12104,0.037
12188,0.006
12193,0.014
12198,0.017
12209,0.09
12210,0.107
