t_index,term,df
1,aan,1
2,aaron,2
3,aback,1
4,abahd,1
5,abandon,39
6,abat,1
7,abc,49
8,abcnew,3
9,abdallah,2
10,abdel,3
11,abdomin,2
12,abduct,2
13,abdul,16
14,abdullah,40
15,abdurahman,1
16,aberr,1
17,abhad,1
18,abhiyan,1
19,abhorr,2
20,abid,8
21,abidin,4
22,abidjan,36
23,abijan,1
24,abil,32
25,abl,105
26,ablaz,3
27,abnorm,1
28,aboard,93
29,abobo,3
30,abolish,4
31,abomin,1
32,abort,7
33,abound,4
34,about,1
35,abovo,1
36,abraham,10
37,abreast,1
38,abrego,1
39,abroad,52
40,abrog,2
41,abrupt,1
42,abruptli,4
43,abscam,1
44,absenc,6
45,absent,4
46,absente,7
47,absentia,3
48,absolut,43
49,absorb,10
50,abstain,1
51,abstent,1
52,absurd,2
53,abu,7
54,abund,2
55,abus,29
56,abuzaakouk,1
57,abyan,5
58,abyssinian,1
59,academ,6
60,academi,4
61,academia,1
62,acced,1
63,acceler,4
64,accent,2
65,accentu,2
66,accept,124
67,access,41
68,accid,32
69,accident,3
70,accommod,11
71,accompani,33
72,accomplic,5
73,accomplish,10
74,accord,145
75,accordingli,1
76,accordion,1
77,account,125
78,accredit,1
79,accumul,2
80,accur,14
81,accuraci,1
82,accus,131
83,accustom,2
84,ace,27
85,acerb,2
86,achiev,32
87,acid,2
88,acknowledg,55
89,acolyt,1
90,acosta,1
91,acquaint,1
92,acquiesc,1
93,acquir,5
94,acquisit,1
95,acquit,5
96,acquitt,3
97,acr,1
98,acrimoni,2
99,acrobat,5
100,acronym,1
101,across,120
102,act,135
103,action,95
104,activ,90
105,activist,19
106,actor,4
107,actress,2
108,actual,66
109,ad,117
110,adam,8
111,adapt,5
112,add,18
113,adden,1
114,addit,74
115,address,64
116,adem,1
117,aden,169
118,adequ,7
119,adher,4
120,adiksa,1
121,adjac,4
122,adjam,2
123,adjoin,3
124,adjourn,3
125,adjust,7
126,adlai,1
127,adm,44
128,admen,1
129,administ,9
130,administr,115
131,admir,38
132,admiralti,1
133,admiringli,1
134,admiss,2
135,admit,40
136,ado,2
137,adob,1
138,adolesc,2
139,adopt,17
140,adorn,1
141,adoubi,1
142,adra,1
143,adrain,1
144,adrenalin,1
145,adriat,1
146,adrift,4
147,adult,10
148,advanc,66
149,advani,1
150,advantag,21
151,adventist,1
152,adventur,2
153,advers,2
154,adversari,2
155,advertis,12
156,advic,6
157,advis,84
158,advisor,10
159,advisori,2
160,advoc,13
161,advocaci,2
162,aegi,5
163,aerial,3
164,aeroflot,1
165,affabl,1
166,affair,48
167,affect,29
168,affection,1
169,affili,6
170,affirm,6
171,afflict,1
172,afford,7
173,affront,2
174,afghan,17
175,afghanistan,46
176,afi,2
177,afibia,1
178,afield,1
179,afir,2
180,afl,2
181,afloat,13
182,afoul,1
183,afraid,28
184,afredo,1
185,africa,65
186,african,49
187,aftehock,1
188,aftermath,14
189,afternoon,64
190,aftershock,43
191,afterward,13
192,afundament,1
193,agarw,1
194,agassi,47
195,agbayani,1
196,age,42
197,agenc,117
198,agenda,14
199,agent,83
200,ager,8
201,agglomer,1
202,aggrav,12
203,aggress,24
204,agil,1
205,agit,1
206,ago,207
207,agon,6
208,agoni,3
209,agonizingli,1
210,agre,77
211,agreement,49
212,agricultur,15
213,agustin,1
214,ah,1
215,aha,1
216,ahead,53
217,ahemdabad,1
218,ahm,15
219,ahmad,1
220,ahmadabad,2
221,ahmar,1
222,ahmedabad,20
223,ahold,1
224,ahren,1
225,aid,158
226,aida,2
227,ail,5
228,ailment,1
229,aim,35
230,air,175
231,aircraft,27
232,airdrop,2
233,airfield,1
234,airforc,1
235,airlift,4
236,airlin,6
237,airlock,1
238,airman,1
239,airmen,11
240,airplan,7
241,airport,49
242,airstrik,3
243,airtim,2
244,airwav,1
245,airway,3
246,aisl,3
247,aj,1
248,ajax,1
249,ajnar,3
250,ajw,1
251,akaka,2
252,akan,2
253,akin,3
254,akishio,1
255,akouedo,1
256,ala,5
257,alabama,5
258,alain,1
259,alami,1
260,alamoudi,1
261,alan,5
262,alarm,19
263,alasan,1
264,alaska,3
265,alaskan,1
266,alassan,27
267,albani,1
268,albania,1
269,albanian,18
270,albeit,4
271,albert,1
272,alberto,66
273,albright,47
274,album,1
275,alce,3
276,alcohol,5
277,alehandr,1
278,alejandro,14
279,aleksa,1
280,aleksandar,6
281,aler,1
282,alert,62
283,alessio,4
284,alex,10
285,alexa,2
286,alexand,9
287,alexandria,1
288,alexei,1
289,alexeyev,1
290,alexsand,1
291,alfonso,1
292,alfr,2
293,alfredo,1
294,algeria,3
295,algerian,5
296,ali,44
297,alia,2
298,alibi,1
299,alien,3
300,alight,1
301,align,5
302,alija,1
303,alik,9
304,alisan,2
305,alisha,1
306,aliv,84
307,allafrica,1
308,allah,1
309,allahabad,2
310,allahbad,1
311,allan,1
312,alleg,72
313,allegedli,23
314,allegi,1
315,allen,22
316,allentown,1
317,alley,2
318,alleyway,3
319,alli,86
320,allianc,10
321,alliz,1
322,allot,1
323,allow,133
324,allud,2
325,allus,5
326,alma,1
327,almagor,1
328,almost,118
329,alon,39
330,along,118
331,alongsid,39
332,alou,1
333,alpha,2
334,alphabet,3
335,alpin,1
336,alreadi,164
337,also,477
338,alter,8
339,altern,20
340,although,83
341,altitud,1
342,altogeth,4
343,aluminum,2
344,alun,6
345,alway,93
346,amad,3
347,amanda,17
348,amarillo,2
349,amartej,3
350,amaru,4
351,amass,4
352,amateur,2
353,amaz,10
354,amazingli,1
355,ambassador,47
356,ambersag,1
357,ambigu,1
358,ambit,8
359,ambiti,2
360,ambival,2
361,ambul,11
362,ambush,1
363,ameli,6
364,amend,2
365,amerasian,1
366,america,128
367,american,353
368,americorp,1
369,amh,1
370,ami,2
371,amiabl,2
372,amic,1
373,amid,51
374,amidship,2
375,amin,1
376,amit,1
377,amman,2
378,ammo,1
379,ammonium,1
380,ammunit,22
381,amnesia,2
382,amnesti,2
383,among,182
384,amongst,2
385,amount,30
386,amp,5
387,amphibi,3
388,ampl,2
389,ampli,1
390,amplifi,1
391,amput,12
392,ana,7
393,anacostia,1
394,analges,1
395,analog,1
396,analysi,9
397,analyst,38
398,analyz,5
399,anarch,2
400,anathema,1
401,anatoli,8
402,anca,4
403,ancestor,3
404,ancestr,25
405,ancestri,1
406,anchor,8
407,anchorag,2
408,anchorman,3
409,ancient,4
410,andean,6
411,anderson,4
412,andi,5
413,andjelkov,1
414,andoslavia,1
415,andr,48
416,andrea,14
417,andrei,2
418,andrew,15
419,andrik,1
420,anew,7
421,angel,13
422,anger,46
423,angl,12
424,anglican,1
425,angri,27
426,angrili,4
427,anguish,8
428,anim,2
429,animist,2
430,animos,11
431,anjana,1
432,anjar,6
433,anjay,1
434,ank,2
435,ankl,9
436,ann,11
437,anna,21
438,annabel,1
439,annacon,1
440,annan,13
441,anniversari,15
442,announc,164
443,annoy,2
444,annual,18
445,annul,11
446,anomali,1
447,anonym,63
448,anoth,263
449,answer,51
450,antagon,1
451,antasiaovich,1
452,antenna,2
453,anthem,6
454,anthoni,27
455,anthropologist,2
456,anti,85
457,antiballist,1
458,antibiot,5
459,anticip,17
460,anticlimact,1
461,antonia,6
462,antonin,1
463,antonio,26
464,anwar,4
465,anxieti,3
466,anxiou,11
467,anxious,2
468,anybodi,14
469,anymor,9
470,anyon,58
471,anyth,94
472,anytim,4
473,anyway,13
474,anywher,18
475,aon,1
476,ap,20
477,apart,69
478,ape,1
479,apec,4
480,apex,1
481,apolit,1
482,apolog,18
483,appal,1
484,appallingli,1
485,appar,193
486,apparatu,7
487,appeal,95
488,appear,196
489,appel,1
490,appetit,2
491,appl,3
492,applaud,10
493,applaus,8
494,appleton,2
495,appli,18
496,applic,16
497,appoint,68
498,appointe,3
499,apprais,2
500,appreci,16
501,apprehend,4
502,apprehens,2
503,apprentic,3
504,appris,1
505,approach,49
506,appropri,18
507,approv,25
508,approxim,12
509,april,67
510,aprista,4
511,apron,1
512,aquil,2
513,arab,61
514,arabi,1
515,arabia,71
516,arabian,44
517,arafat,16
518,arantxa,3
519,arazi,7
520,arbadi,1
521,arbit,1
522,arbitrari,2
523,arbitrarili,1
524,arc,1
525,arch,2
526,archaeolog,2
527,archbishop,4
528,archer,1
529,archeri,4
530,archetyp,1
531,archi,5
532,archibald,1
533,architect,7
534,architectur,4
535,arctic,6
536,ardent,4
537,arduou,1
538,are,2
539,area,186
540,arena,22
541,aretz,1
542,argentin,1
543,argentina,10
544,argu,45
545,arguabl,2
546,argument,18
547,ari,1
548,arid,5
549,arif,1
550,arisen,1
551,arithmet,1
552,aritomi,4
553,ariz,8
554,arizona,7
555,ark,8
